sp,temp,time,medium,gr,ptl
2,15,12,1,2.09,13.30
2,20,12,1,3.29,14.06
2,25,12,1,3.41,15.52
2,30,12,1,3.24,15.60
2,35,12,1,3,12.23
2,5,24,1,13.34,27.78
2,10,24,1,16.78,23.21
2,15,24,1,20,24.52
2,20,24,1,39.09,42.13
2,25,24,1,45.51,71.90
2,30,24,1,27.03,65.78
2,35,24,1,23.98,61.21
2,5,2,2,0,0.00
2,10,2,2,1.54,11.21
2,15,2,2,1.52,11.43
2,20,2,2,2.3,12.50
2,25,2,2,2.41,11.10
2,30,2,2,2,12.31
2,35,2,2,2,14.04
2,5,6,2,0,0.00
2,10,6,2,1.77,10.08
2,15,6,2,4.56,11.28
2,20,6,2,5.43,13.38
2,25,6,2,5.58,14.23
2,30,6,2,5,13.24
2,35,6,2,0,0.00
2,5,12,2,1,9.13
2,10,12,2,2.34,14.76
2,15,12,2,2.45,16.02
2,20,12,2,6.21,23.45
2,25,12,2,8.39,38.51
2,30,12,2,8.03,34.41
2,35,12,2,7.73,27.34
2,5,24,2,4.42,18.53
2,10,24,2,15.34,19.23
2,15,24,2,49.71,87.43
2,20,24,2,82.08,110.98
2,25,24,2,80.36,123.89
2,30,24,2,49.65,100.00
2,35,24,2,45.56,93.37
2,5,2,3,0,0.00
2,10,2,3,0,0.00
2,15,2,3,0,0.00
2,20,2,3,2.51,21.12
2,25,2,3,4.16,23.01
2,30,2,3,4.12,24.19
2,35,2,3,4,24.00
2,5,6,3,0,0.00
2,10,6,3,0,0.00
2,15,6,3,3,36.60
2,20,6,3,5.16,41.00
2,25,6,3,7.3,45.78
2,30,6,3,7.7,51.00
2,35,6,3,7.7,51.00
2,5,12,3,3.45,32.22
2,10,12,3,6.78,44.67
2,15,12,3,7.23,49.98
2,20,12,3,17.71,52.64
2,25,12,3,21.33,54.30
2,30,12,3,22.1,54.30
2,35,12,3,24.13,61.00
2,5,24,3,11.3,52.14
2,10,24,3,17.45,57.40
2,15,24,3,22.31,62.34
2,20,24,3,45.38,80.23
2,25,24,3,59.79,96.36
2,30,24,3,59.79,107.30
2,35,24,3,59.79,107.30
3,5,2,1,0,0
3,10,2,1,0,0
3,15,2,1,0,0
3,20,2,1,0,0
3,25,2,1,1.12,21.06
3,30,2,1,1.12,21.06
3,35,2,1,0,0
3,5,6,1,0,0
3,10,6,1,1.09,11.13
3,15,6,1,2.13,65.8
3,20,6,1,3.32,68.3
3,25,6,1,4.11,69.56
3,30,6,1,4,61.03
3,35,6,1,4,61.03
3,5,12,1,1.35,11.62
3,10,12,1,3.16,22.03
3,15,12,1,3.98,24.19
3,20,12,1,18.16,56.79
3,25,12,1,26.65,91.45
3,30,12,1,26.61,92.01
3,35,12,1,18,61.30
3,5,24,1,4.5,38.10
3,10,24,1,5.5,45.06
3,15,24,1,8.57,61.09
3,20,24,1,49.17,89.94
3,25,24,1,52.98,93.40
3,30,24,1,47.1,95.70
3,35,24,1,47.1,95.70
3,5,2,2,0,0.00
3,10,2,2,1.78,20.33
3,15,2,2,2.3,25.30
3,20,2,2,2.41,27.10
3,25,2,2,3.45,29.10
3,30,2,2,3.78,29.98
3,35,2,2,0,0.00
3,5,6,2,0,0.00
3,10,6,2,1.34,17.71
3,15,6,2,3.4,28.88
3,20,6,2,4.5,32.10
3,25,6,2,4.67,35.50
3,30,6,2,4.01,39.09
3,35,6,2,5.11,43.36
3,5,12,2,7.3,49.17
3,10,12,2,8.22,51.10
3,15,12,2,8.75,53.18
3,20,12,2,10.12,55.08
3,25,12,2,16.88,63.30
3,30,12,2,10,54.00
3,35,12,2,6.77,11.13
3,5,24,2,2.23,13.45
3,10,24,2,3.14,14.20
3,15,24,2,28.24,55.47
3,20,24,2,61.17,117.65
3,25,24,2,67.85,139.87
3,30,24,2,48.02,91.05
3,35,24,2,19.87,91.78
3,5,2,3,0,0.00
3,10,2,3,2.34,10.11
3,15,2,3,2.45,11.04
3,20,2,3,3.56,11.45
3,25,2,3,4.11,16.32
3,30,2,3,2,10.07
3,35,2,3,2,10.09
3,5,6,3,0,0.00
3,10,6,3,3.43,11.17
3,15,6,3,3.56,10.43
3,20,6,3,4.35,12.25
3,25,6,3,4.67,12.31
3,30,6,3,5.11,13.55
3,35,6,3,5.03,14.04
